BJD - 2454833, Corrected Flux
1960.603810864,1.000538675
1960.624242596,1.001002130
1960.644674127,1.000106075
1960.665105759,1.000184369
1960.685537490,0.999983504
1960.705969022,1.000298738
1960.746832386,1.000553523
1960.787695550,1.000237592
1960.808127282,1.000224934
1960.828558815,1.000073786
1960.848990547,1.000216746
1960.869422180,1.000219563
1960.889853813,1.000192383
1960.910285446,1.000366518
1960.930717079,1.000198771
1961.012443712,1.000049763
1961.032875346,1.000415064
1961.053306879,0.999997540
1961.073738613,0.999849108
1961.094170247,1.000028835
1961.114601781,1.000074671
1961.135033516,1.000070300
1961.155465150,0.999999313
1961.175896784,1.000288495
1961.196328419,1.000042724
1961.237191689,1.000343310
1961.257623324,1.000202194
1961.278054859,1.000078850
1961.298486594,1.000321070
1961.318918229,1.000298246
1961.339349765,1.000204738
1961.359781500,1.000380927
1961.380213136,1.000059999
1961.400644872,1.000065724
1961.421076408,1.000071874
1961.441508044,1.000239277
1961.482371317,1.000049182
1961.502802953,0.999974510
1961.523234690,1.000156096
1961.543666326,1.000375403
1961.564097963,1.000061212
1961.584529600,0.999913755
1961.625392875,1.000323555
1961.645824512,1.000112206
1961.666256149,1.000114159
1961.686687887,0.999365075
1961.747982801,1.000008177
1961.768414339,1.000096816
1961.788846077,1.000220866
1961.829709254,1.000105017
1961.850140993,1.000104020
1961.891004170,1.000220992
1961.911435909,1.000172591
1961.993162367,1.000357491
1962.013594107,1.000398867
1962.034025746,1.000230502
1962.054457386,0.999986741
1962.074889026,1.000159846
1962.095320667,0.999935875
1962.115752407,1.000133459
1962.136183948,1.000644973
1962.156615588,1.000327403
1962.177047329,1.000433904
1962.217910511,1.001006889
1962.238342252,1.000657602
1962.258773893,1.000522697
1962.279205435,1.000193947
1962.320068818,1.000148535
1962.340500560,1.000047560
1962.360932102,1.000247864
1962.381363744,1.000171294
1962.401795486,1.000165243
1962.422227028,1.000703851
1962.463090414,1.000801771
1962.483521956,0.999937354
1962.503953699,1.000259935
1962.524385242,1.000684329
1962.544816886,1.000476259
1962.565248629,1.000612039
1962.585680172,1.000054695
1962.606111816,0.999971171
1962.626543560,1.000131307
1962.646975104,1.000538623
1962.667406848,1.000419960
1962.708270136,1.000032844
1962.728701780,0.999863894
1962.749133425,1.000311600
1962.769565070,0.999890361
1962.789996715,0.999855833
1962.810428360,1.000162543
1962.830860005,1.000228539
1962.851291750,1.000032960
1962.871723295,0.999906533
1962.892155041,0.999826695
1962.912586687,0.999827294
1962.953449978,1.000145205
1962.973881625,1.000224354
1962.994313171,0.999734220
1963.014744917,0.999909133
1963.035176564,0.999952006
1963.055608310,0.999922359
1963.076039857,0.999966051
1963.096471504,1.000330548
1963.137334799,0.999815986
1963.157766446,0.999835666
1963.198629741,0.999873468
1963.219061489,0.999740294
1963.239493037,0.999896774
1963.259924685,0.999631905
1963.280356434,1.000121746
1963.300787982,0.999774673
1963.321219630,0.999821812
1963.341651379,0.999862074
1963.362082928,0.999867138
1963.382514577,0.999864334
1963.402946326,1.000134788
1963.464241274,0.999682806
1963.484672924,0.999759593
1963.505104574,0.999552755
1963.525536224,0.999627446
1963.545967874,0.999620564
1963.566399625,0.999790585
1963.586831175,0.999668030
1963.607262926,1.000175029
1963.627694576,0.999814158
1963.648126127,0.999652811
1963.688989530,0.999870896
1963.709421081,0.999960508
1963.729852833,0.999684488
1963.750284484,0.999775522
1963.770716136,0.999585412
1963.791147788,0.999627655
1963.811579440,0.999545916
1963.832011092,0.999861774
1963.852442745,0.999766349
1963.872874397,0.999999290
1963.954601009,1.000224116
1963.975032662,0.999933844
1963.995464416,1.000173769
1964.015895970,1.000463952
1964.036327623,1.001001449
1964.056759377,1.001107723
1964.077191031,0.999808836
1964.097622586,0.999815917
1964.118054340,0.999819650
1964.138485995,0.999760176
1964.199780959,0.999698546
1964.220212714,0.999651316
1964.261075925,0.999880423
1964.281507681,1.000673405
1964.301939237,0.999971880
1964.322370993,0.999649934
1964.342802649,0.999897873
1964.363234205,1.000382942
1964.383665961,1.000728787
1964.424529175,0.999923651
1964.444960932,0.999686031
1964.465392589,0.999655109
1964.485824346,1.000027788
1964.506255903,0.999980769
1964.526687461,1.000254098
1964.547119218,0.999788396
1964.567550876,0.999798994
1964.587982534,0.999782273
1964.608414192,1.000177049
1964.628845851,1.000223053
1964.690140827,1.000222476
1964.710572586,0.999957163
1964.731004245,0.999668269
1964.751435804,0.999790662
1964.771867563,0.999973015
1964.792299223,1.000182335
1964.812730783,0.999913027
1964.833162543,0.999930189
1964.853594203,0.999962889
1964.914889184,1.000281290
1964.935320945,1.000331927
1964.955752506,1.000257402
1964.976184167,0.999834224
1964.996615928,0.999940584
1965.017047489,0.999716826
1965.037479251,0.999876037
1965.057910912,1.000083338
1965.078342474,0.999919205
1965.098774236,0.999960967
1965.119205899,0.999955250
1965.160069223,0.999927728
1965.180500786,0.999959264
1965.200932549,0.999965639
1965.241795775,1.000082484
1965.262227539,1.000157625
1965.282659202,1.000377437
1965.303090866,0.999931372
1965.323522530,1.000123478
1965.343954194,0.999988329
1965.364385858,1.000221502
1965.405249187,0.999744535
1965.425680951,0.999929409
1965.466544181,1.000251726
1965.486975946,1.000058118
1965.507407612,0.999917645
1965.527839177,1.000097673
1965.548270943,1.000232398
1965.568702609,1.000301697
1965.589134375,1.000379368
1965.609565941,1.000110189
1965.650429374,0.999667327
1965.670860941,1.000030446
1965.691292608,1.000019082
1965.711724375,1.000042393
1965.732155942,1.000119287
1965.752587709,1.000218868
1965.773019377,1.000258965
1965.793450945,1.000251495
1965.813882713,1.000272431
1965.834314281,1.000407510
1965.854745949,1.000291457
1965.916040955,1.000863431
1965.936472724,1.001421953
1965.956904393,1.000457732
1965.977336062,1.000225818
1965.997767732,1.000245951
1966.018199401,1.000140031
1966.038631071,1.000445251
1966.059062741,1.000151560
1966.079494411,1.000184130
1966.099926182,1.000233676
1966.140789523,1.000591607
1966.161221194,1.000800362
1966.181652765,1.000168062
1966.202084536,1.000294506
1966.222516207,1.000201030
1966.242947779,1.000669761
1966.263379551,1.000740778
1966.283811223,1.000924738
1966.304242995,1.000448849
1966.324674567,1.000353063
1966.345106239,1.000422421
1966.385969585,1.000519345
1966.406401258,1.000920366
1966.426833031,1.000709766
1966.447264604,1.000288638
1966.467696378,1.000290692
1966.488127951,1.000167661
1966.508559625,1.000684309
1966.528991399,1.000864310
1966.549422974,1.000616671
1966.569854648,1.000499157
1966.590286423,1.000316094
1966.631149672,1.000174472
1966.651581448,1.000398715
1966.672013123,1.000443181
